text,label,notes
"I couldn't care too much about playing [France]. ... They're probably going to win against us, they're probably going to win the whole tournament",Prediction,
Cristiano Ronaldo hits his 975th career goal and his 10th in FIFA World Cup to become the leading goal scorer for Portugal in World Cup history.,Analysis,
WHAT A FANTASTIC GOAL FROM WILSON ISIDOR FOR HAITI AGAINST MOROCCO!,Reaction,
"I've played for 20 years now, and I've hit a strike from that far once off of a one touch, and I must say the feeling that overwhelmed me during that was something I will never forget! What a shot, this forsure will be a top 10 at tournament end. Still have my fingers crossed for a Jedi type goal soon!",Reaction,
Haitian coach should be heavily criticized for not starting him sooner. Perriot has been horrific and he waited until they were eliminated to finally bench Perriot for Isidor.,Analysis,
One of the best in the tournament so far. Wouldn't be surprised to see it in the top 10 goals at the end of the tournament.,Prediction,It is a present evaluation followed by a future forecast. Labeled predicition because the primary claim is about the goal's future standing.
Curaçao goalkeeper Eloy Room makes World Cup history with 15 saves,Analysis,
Good to see goalkeepers finally getting recognition,Reaction,
"I geniunely can't think of a worse performance at a world cup than Scotland in this game. Everything about it was really, REALLY bad. The tactics alone... Of all the teams to try to take the game to and beat instead of just trying to grind out a draw they chose Brazil?!",Reaction,
"The flow of this game was pure chaos and I was completely here for it. Haiti never quit even when the goals started piling up, and that second half had no business being that entertaining.",Reaction,
I became a Haiti fan tonight sitting in section 232. What a blast. Allonz-y!,Reaction,
Egypt secure their first-ever FIFA World Cup victory in 92 years.,Analysis,
Wow New Zealand really is terrible,Reaction,
92 years?! Well good job Egypt 🎉,Reaction,
So happy with the expansion to see players like Mo Sallah shine on the world stage!,Reaction,
Lionel Messi breaks men’s World Cup record and becomes all-time leading scorer,Analysis,
Mbappe will surpass. They’re both amazing players. Let’s celebrate them both.,Prediction,
"100% he just played 16 matches and 16 goals and for messi its his last world cup so If not in this World Cup, then maybe in the next one Mbappe could break the record.",Prediction,
It won't be long before Jonathan David overtakes him tho,Prediction,
I love your energy. We're happy for his hat trick... but be real. The Canada v Qatar results won't be repeated. David won't finish near the top score stats by end of this world cup.,Prediction,
The other current player to watch approaching Messi's all-time goal count is Mbappé.,Analysis,
Love seeing the full team huddle together after a hard-fought three points,Reaction,
2030 he will get called up 5 days before. Just wait.,Prediction,
Can’t wait for England to get knocked outtt,Prediction,
"They were great defensively but only had like 1 shot on target. Ghana cannot win with this defensive structure. They will have to change for the knockout stage, where you cannot just draw.",Analysis,Contains a future-oriented statement but the the primary purpose is analyzing Ghana's current tactics
Good Luck against Argentina (you're gonna need it).,Prediction,
"Great team, they were quite fun to watch. Cool for them to advance from the second place, even if the get Argentina for their efforts. Maybe they aren't the best technically, but I like that they really tried. Hope to see them again next time.",Reaction,
"For us Austrians it was not a bad game actually. I think we did much better here than against Jordan. We just lack the ability to crack Argentina's defense. The second goal in the last minute we blocked well but then suddenly froze when Messi touched the ball. But at the same time, c'mon, Argentina is number one in FIFA and it's no surprise they simply play better overall. Still proud of our team though.",Analysis,It has emotional / reaction framing but the core is tactical observations so it is analysis
"I think Austria’s defense was solid, and Alaba played really well, but Austria just didn’t have that offensive threat.",Reaction,
"Pretty disappointing from Austria. Not enough mouvement up front, no dynamism, no rhythm shifts up front, no risk taken... How many time an Austrian player tried to make another pass in a short space instead of trying to center it ? I mean you want to play like Spain against this Argentina? That's Rangnick's fault. A very German lost, don't adapt, don't change, don't think.",Analysis,
"Very frustrating to watch. Seemed like Korea had no strategy at all, zero effort, and players gave up. They kept going for crosses but the height disadvantage blocked them every time, no attempt at target either. As someone else said, they were probably going for the tie, but had no plan for trailing 0-1 behind. Hope they can regroup and play better provide they get lucky to play in round of 32.",Analysis,
I was shocked that the Koreans played such a lackadaisical game. They showed no real urgency until very late and at that point they had very little time left to tie it up against an SA side that had firmly parked the bus. It's like they came in expecting to play a game against a team that they could beat or tie with minimal effort and by the time they realized that wasn't the case the Korean players had trouble finding another gear and the game slipped away.,Analysis,
Colombia is underrated and will kick out Argentina in the quarters,Prediction,
"The system is set up so lots of average and worse teams will get through. The winners will be one of France, Spain, or Argentina. Everyone else is not on that level.",Prediction,
This happens every world cup/ any kind of tournament. At least one small team will exceed expectations and a bigger nation won't go as far as expected.,Prediction,Edge case because it uses evidence for a future-oriented claim. Prediction because it is the main claim
Panama plays so dirty compared to Croatia who really play so clean imo. You can even see most of them keeping their hands back to avoid any pushing.,Analysis,
Well. If they play a defensive match like they did against Spain they are doomed. And they are probably going to do it so they are doomed. Reason is very simple: Argentina has Messi and he can make anything happen even against the most defensive setup you can imagine. I expect a match quite similar to Argentina vs Iran or Argentina vs Switzerland in the 2014 WC.,Prediction,
"If they get one goal and keep Argentina under 7 goals, it will be a victory for Cape Verde. 🇨🇻 I am setting my expectations really really low. Anything above that is gravy. Remember, Messi is arguably the best of all time, and the rest of Argentina are no slouches.",Prediction,
"Australia held more possession and shots, but both goalkeepers walked away with clean sheets",Analysis,
"Iran will be eliminated without losing a match and 2 game winners are not getting counted, 2-3 shots coming off posts too. These are on top of special bullying they had to endure",Analysis,
They will turn it up in the knock out stage.,Prediction,
"To be honest and realistic: no one really thinks that we could win this tournament with our team. Especially not after loosing Schlotterbeck. But even without him, we don’t believe it would happen. The last two tournaments showed it. We could be happy, that we are now out of the group stage.",Prediction,
"England ain't making it. I think Germany vs France is a likely outcome, though.",Prediction,
Morocco def coming out on top but love that Haiti is making this competitive even tho they’re out,Prediction,
i’m actually happy for Haiti they deserved at least one goal this tournament,Reaction,
Messi is one of the dirtiest players of football ever. He can dribble like a legend but he plays like a narcissist. Just remember that his team was already ahead by a goal when he did that body (not ball) abuse.,Analysis,
Qatar were embarrassing,Reaction,
"Oh my god, what a goal by Messi against Algeria",Reaction,
Reportedly 400 000 fans celebrated the Mexico victory against South Korea,Analysis,
"Despite the narrative, Cristiano Ronaldo didn't brush off questions about Lionel Messi. He answered about Messi cordially over 3 times before asking the ""Reporters"" to focus on Portugal and only ask questions that were relevant to the Portugal v Uzbekistan game that had just taken place",Analysis,
"Such a beautiful game is football , what a showcase from Cabo Verde GK",Reaction,
"GHANA SCORES IN STOPPAGE TIME!!!! INCREDIBLE RUN, INCREEDIBLE GOAL!",Reaction,
Defense fell apart. Slide tackle was not the move here .. it was covering space and if the tackle was to be taken it had to be a tactical foul... And then everyone went near post instead of marking runners.,Analysis,
"How am I the only one who's extremely skeptical and disappointed in how we played against Australia in the second half? Australia is an OK team. They are not good, despite what people in here are claiming. We're not going to make it past the first elimination round if we give another second half like that. We looked like the team USA that was losing to 5th-rate teams last year and that truly terrifies any hope I have for making it deep into the tournament.",Prediction,"Edge case (Reaction vs Prediction). Emotional framing (skeptical, terrifies) motivates the post, but per Rule 1 the primary communicative purpose is the forecast about tournament prospects (won't make it past the first elimination round). Emotion frames the prediction rather than being the point."
Marcelo Bielsa was left absolutely FURIOUS in his post match interview after Uruguay failed to qualify for the World Cup knockouts,Analysis,
Japan will be the first non European and South American country to win the world cup,Prediction,
Morocco has been 40 games in a row Undefeated... they are much closer to a world Cup Win than Japan. Not to mention eliminating Portugal and Spain last world cup.,Analysis,"It is evidence driven. Even though it mentions an outcome, it just argues that Morocco is stronger than Japan"
"I do like them but winning the WC though, not sure when that will be but agree they will be the first Asian country to do so",Prediction,
"Ghana, Canada, or the USA. Would be the 3 most likely in my opinion. Not this WC but in the future",Prediction,
I think it will be an African nation to do it. But I agree Japan is strong and easily the best Asian team.,Prediction,
"Portuguese journalist gives his opinion on Cristiano Ronaldo: ""The problem is not his age. It is that nobody seems willing to tell him to his face what everyone else can see"". Do you agree?",Analysis,
"The best I have seen a USA team play in a long time. Great to see, hope it continues.",Reaction,
What a game and result,Reaction,
What a great great game by Japan!!! 🙌🏼,Reaction,
Japan to eliminate Brazil - you read it here first,Prediction,
Korea are so fun to watch. Their match against Mexico is going to be cinema,Reaction,
"Mexico - 7/10. A decent performance. They never looked in trouble after getting an early goal, despite not peforming at their full potential. Looked sharp going forward. Lots of pace and trickery in midfield and the wings, with Raul Jiminez giving them the physicality and strength up front. I'm surprised they didn't push for more with SA already being one man down early in the second half. Lacked concentration towards the end of the game, conceding a sloppy and unnecessary red card.",Analysis,
I think Croatia looked a bit better than I expected them to honestly and this is the first year that I’ve felt England have a good chance at actually bringing it home. They’re not missing a single piece,Prediction,
Terrible refereeing,Reaction,
Whatta match it was!!,Reaction,
Anybody felt Messi a bit slow? I really loved his goals but the ball got de-possessed 16 times from EASILY compared to other Argentinian players. And he made some bad passes. Why’s no one talking about it? Tbh I didn’t enjoy his game yesterday.,Analysis,
"18th World Cup Goal for Lionel Messi, his 5th goal in 2 matches at FIFA World Cup 2026.",Analysis,
His career is truly astonishing. Messi！！！！,Reaction,
USA World Cup goals are literally shaking Seattle's Lumen Field,Analysis,
Probably the best match of the world cup thus far. Very entertaining and England deserved the win with what they showed in the 2nd half,Reaction,
"Congratulations, lads! Team looked dangerous throughout against a formidable opponent and a stellar keeper. I expect great things from this squad.",Reaction,
England’s team is stacked!!! It is their World Cup to lose!!!!,Prediction,
"Our defence will be suspect against better teams. I still think we're missing a talisman like slabhead to organise the back line, even if Pickford can do a job of it",Prediction,The main claim is future-oriented so prediction
"Morocco makes World Cup history, fields 11 foreign-born players",Analysis,
south korea are officially eliminated from the world cup,Analysis,
"They needed a threat to run in behind. Like turkey, everything was side to side showing to feet. Hwang Hee-chan looked dynamic for the little time he played but the coach didn’t play him",Analysis,
Julián Quiñones becomes the first player from CONCACAF and first Mexican player to score the opening goal in a World Cup opening match.,Analysis,
Surprising about how much space he was getting on his shots,Reaction,
i was sceptical at first admittedly but i love these extra matches. watching smaller teams challenge the favourites to win and pulling off feats like this has been sooooo rewarding,Reaction,
This was a hard game to watch honestly,Reaction,
Sweden was sleeping first 15 min in both half times.. but Netherlands is the stronger team,Analysis,
Netherlands put some great balls between the GK and the defence and they converted them into 4 goals. Great cohesion shown by the dutch.,Analysis,
Sweden could use 2 top D-men and a new goalie. Offensively they look good but they need to produce a couple more Lindelofs.. Ravelli would've caught at least one of those..,Analysis,
"Great match! Considering how good NZ were, I am happy with a draw, but if we were more clinical we could have stolen it - 2 big games ahead!",Reaction,
"I enjoyed this match，it was fast-paced and the transitions between offense and defense were exciting. Both sides played very aggressively, and the game wasn't one-sided. The tactical execution and suspense were excellent. I think it was the most exciting match so far. Both teams deserve praise.",Reaction,The tactical vocabulary is used as reasons on why the game was fun to watch. Reaction since it primarily expresses excitement and praise
"Came in with no expectations, got surprised by how fun the game was. Such a great year when the worst teams can play well.",Reaction,
Jordanian fans clean stadium after game in San Francisco,Analysis,
It's frustrating that Morocco or the Netherlands will have to leave the tournament so early.,Reaction,
England are unlikely to face Scotland as Scotland are unlikely to qualify.,Prediction,
FIRST HALF HATTRICK FOR DEMBELE… WHAT A BALLER HE IS 🔥 3 : 1 to FRANCE What can stop France attack in this tournament?,Reaction,
sweden will stop it i am sure #nocope 🙂‍↔️,Prediction,
Viral Cabo Verdean World Cup goalie to be reunited with mom in Miami,Analysis,
"I don't understand why the dutch kept trying to dribble instead of going for more headers, you gotta take advantage of that height difference",Analysis,The main idea is the specific tactical obsevation with reasoning. Analyis even though it is short
"Japon team earned the score, they worked hard for it",Reaction,
"Netherlands dominated possession and shot volume, yet Japan fought back brilliantly to grab a late equalizer. This draw feels fair for how fiercely both sides battled for the win.",Analysis,
Absolutely good game,Reaction,
"If Japan plays like that for every game they’re going to make it far! I personally think Netherlands could’ve been more refined, I still have them for the finals.",Prediction,
Unbelievable match!! Two GREAT Team,Reaction,
"First half was disapointing but second half was a great watch! These are two very good teams, will be interesting how far these two can go after the second half",Reaction,
This was just a hiccup for Netherlands due to some bad subs. They should go far this tournament,Prediction,
I said it after the Japan game and everyone hated. This Netherlands team means business. They’re offense is a bit wobbly but that midfield and defense will carry them through games,Prediction,
"As a Dutchman, it feels like they (still) have to find a comfortable lineup. The idea at first was to have Malen as striker, because he had a very good club season, but during the friendlies and against Japan he just wouldn't finish his shots. Using Brobbey as striker was an experiment, that seemingly worked. It's good they found something that worked, but it still feels like they need to do some finetuning and experimenting before they get it right. That's a bit worrying looking at the fact the world cup already started…",Analysis,
Fifa is considering expanding the format even further to 64 teams as early as 2030,Analysis,
"The hosts for 2030 can really only handle 32 teams, 48 is already pushing it. A 64 team tournament could realistically only be handled by 2 host countries in the world: USA and China.",Analysis,
"I think the only issue is with the expanded world cup we currently have is i watched the first 2 games for most groups and gave up until elimination. Adding more may add fatigue as a fan and i guess to players as well. as other people said make it single elim with less games , more teams , higher stakes and thats better",Reaction,
that s really a shame they should really change the coach,Reaction,
"The two striker formation worked well, good interplay between Isak and Gyko its a dangerous combo. Tunisia unfortunately are not up for this match and we're overmatched and overpowered. It's going to be a rough WC for the Eagles of Carthage.",Analysis,"The bulk of the sentence is a current-match tactical analysis. It ends with a short forecast but the main claim is the analysis. The shost is too broad or not specific enough to count as a prediction, and the main focus on top of that."
